bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0182,43.64,54.09,2.27,87.27,M,Subadult,2008,Late,Central,72.01,-125.47
BEAR0185,44.51,55.49,0,90.98,M,Subadult,2008,Late,Central,71.98,-125.25
BEAR0186,55.28,44.72,0,89.34,M,Adult,2008,Late,Central,71.3,-118.98
BEAR0187,31.05,33.9,35.04,85.93,M,Adult,2000,Early,West,70.3,-127.55
BEAR0188,30.94,55.48,13.59,91.18,M,Cub,2000,Early,West,69.77,-132.23
BEAR0189,50.42,43.28,6.3,93.24,M,Adult,2000,Early,West,70.53,-127.93
BEAR0191,39.54,53.5,6.96,80.95,M,Subadult,2000,Early,West,70.53,-129
BEAR0192,10.96,89.04,0,86.39,M,Subadult,2000,Early,West,69.85,-133.95
BEAR0193,48.43,40.36,11.22,81.09,M,Adult,2000,Early,West,69.97,-131.49
BEAR0194,54.83,44.7,0.48,71.61,M,Adult,2000,Early,Central,71.97,-125.37
BEAR0195,32.31,67.7,0,57.43,F,Subadult,2000,Early,West,69.87,-122.8
BEAR0196,74.09,17.49,8.42,69.3,M,Adult,2000,Early,West,69.78,-123.33
BEAR0197,46.74,50.16,3.1,81.02,M,Cub,2000,Early,West,69.85,-122.63
BEAR0198,31.63,64.81,3.56,84.54,M,Subadult,2000,Early,West,70.17,-125.08
BEAR0205,54.52,36.96,8.51,92.29,M,Adult,2008,Late,West,70.58,-127.48
BEAR0206,68.19,23.08,8.73,64.78,F,Cub,2008,Late,West,70.16,-126.92
BEAR0225,22.87,71.78,5.35,66.18,M,Adult,2000,Early,Central,70.52,-122.98
BEAR0226,72.25,18.34,9.41,76.06,M,Adult,2000,Early,Central,70.6,-123.3
BEAR0229,36.39,59.17,4.43,76.3,M,Adult,2003,Mid,Central,69.89,-120.23
BEAR0230,71.25,21.77,6.97,73.93,F,Adult,2003,Mid,Central,70.42,-122.17
BEAR0231,20.83,79.17,0,83.6,F,Adult,2006,Mid,Central,69.95,-122.96
BEAR0235,41.13,46.47,12.39,78.87,M,Subadult,2007,Mid,Central,70.57,-123.57
BEAR0246,60.24,35.41,4.34,79.11,M,Subadult,2007,Mid,Central,71.19,-122.56
BEAR0247,13.52,86.48,0,77.11,F,Subadult,2007,Mid,Central,70.48,-117.3
BEAR0248,76.26,19.68,4.07,78.91,M,Subadult,2007,Mid,Central,72.02,-126.15
BEAR0251,38.22,61.21,0.58,62.93,M,Adult,2007,Mid,West,70.59,-128.21
BEAR0252,22.7,76.9,0.4,73.49,M,Subadult,2007,Mid,West,70.59,-128.21
